№	Общее название		Отп		Альфа		Почта						ОТП		Альфа		Почта		
1	Автозапчасти и сервис	CAR_REPAIR	RGB_GOODS_CATEGORY_101	Автозапчасти, шины, диски	CAR REPAIR	Авторемонт	204	Автозапчасти (двигатели, коробки передач, мосты, кузовное железо, фары, сиденья, панели) и автосервис	.Автомобильные запчасти и электроника								999	Не продаем в кредит	Не продаем
2	Шины и диски	TIRES_RIMS	RGB_GOODS_CATEGORY_101	Автозапчасти, шины, диски	CAR REPAIR	Авторемонт	203	Шины, диски	.Автомобильные запчасти и электроника						CAR_CASSETTE_PLAYER	Автомагнитолы			
3	Авто аудио-видео	CAR_ACOUSTIC	RGB_GOODS_CATEGORY_102	Авто аудио-видео системы	CAR_ACOUSTIC	Автоакустика	200	Автомобильная аудио-видео техника и акустика (в т.ч. магнитолы, колонки, усилители, антенны и т.д.)	.Автомобильные запчасти и электроника						CAR_TV	Автомобильные телевизоры			
4	Домашние аудио системы	MINI_SYSTEM	RGB_GOODS_CATEGORY_103	Домашние аудио-видео системы	MINI_SYSTEM	Музыкальные центры	213	Проигрыватели дисков, музыкальные центры, магнитолы, радиоприемники	.Видео и аудио техника						DEEP_FRYER	Фритюрницы	65	Прочее	.Прочее
5	Телевизор	LCD_TV	RGB_GOODS_CATEGORY_129	Телевизоры/плазменные панели	LCD_TV	ЖК-телевизоры	215	Телевизоры и видеопроекторы	.Видео и аудио техника						FAX	Факсимильные аппараты	273	Подарочные карты, сертификаты	.Альтернативные товары
6	Компьютер (настольный)	SYSTEM_BLOCK	RGB_GOODS_CATEGORY_104	Компьютеры и комплектующие	SYSTEM_BLOCK	Системные блоки	217	Компьютеры (системные блоки и мониторы)	.Компьютерная и орг техника						MONOBLOCK	Моноблок	10	Автомобиль	Автомобили
7	Монитор	MONITOR	RGB_GOODS_CATEGORY_104	Компьютеры и комплектующие	DISPLAY	Мониторы ЖК / ЭЛТ	217	Компьютеры (системные блоки и мониторы)	.Компьютерная и орг техника										
8	Ноутбук	LAPTOP	RGB_GOODS_CATEGORY_125	Ноутбуки	NOTEBOOK	Ноутбуки	222	Ноутбуки, планшеты, GPS-навигаторы, MP-3 плееры, КПК, игровые приставки	.Компьютерная и орг техника						HAIR_DRYER	Фены			
9	Запчасти для компьютеров	COMPUTER_COMPONENTS	RGB_GOODS_CATEGORY_104	Компьютеры и комплектующие	COMPUTER_COMPONENTS	Комплектующие компьютерной техники	28	Компьютерная техника	.Компьютерная и орг техника						JUICER	Соковыжималки			
10	Мобильный телефон	MOBILE_PHONE	RGB_GOODS_CATEGORY_105	Телефоны/Гаджеты/Аксессуары	MOBILE_PHONE	Мобильные телефоны	235	Мобильные телефоны, смартфоны и аксессуары	.Мобильные телефоны, смартфоны и аксессуары										
