№	Общее название	Code	ОТП		Альфа		Почта	
1	Другие сферы	OTHER	Others fields	Другие сферы	OTHER	Другая сфера деятельности	Z	Прочее
2	Металлургия/Промышленность/Машиностроение	HEAVY_ENG	Iron & Steel	Металлургия/Промышленность/Машиностроение	HEAVY_ENG	Машиностроение и металлообработка	D	Тяжелая, легкая, пищевая пром., химия, парфюмерия,
3	Реклама	ADS	Mass media	Реклама	MASS_MEDIA	Реклама, PR агентства, СМИ	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
4	Маркетинг	MARKETING	Marketing	Маркетинг	MASS_MEDIA	Реклама, PR агентства, СМИ	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
5	Салоны красоты, парикмахерские, фитнесс	BEAUTY_FITNESS	Beauty shop	Салоны красоты, парикмахерские, фитнесс	BEAUTY_FITNESS	Салоны красоты, фитнес-центры	Z	Прочее
6	Сборочные производства	ASSEMBLING	Assembly production	Сборочные производства	ASSEMBLING	Сборочное производство	H	Туристический и гостиничный бизнес, общепит и рест
7	Сельское хозяйство, охота	AGRICULTURE	Agriculture	Сельское хозяйство, охота	AGRICULTURE	Сельское хозяйство	A	Сельское и лесное хозяйство, охота
8	Строительство	CONSTRUCTION	Construction - Raw Materials	Строительство	CONSTRUCTION	Строительство, ремонт	F	Строительство, производство стройматериалов, дорож
9	Операции с недвижимостью	REAL_ESTATE	Real Estate Operations	Операции с недвижимостью	REAL_ESTATE	Риэлторские услуги	K	Операции с недвижимым имуществом, аренда и предост
10	Транспорт	TRANSPORT	Transportation	Транспорт	TRANSPORT	Транспорт	I	Транспорт, логистика, связь, информ.технологии, те
11	Логистика	LOGISTICS	Trucking	Логистика	TRANSPORT	Транспорт	I	Транспорт, логистика, связь, информ.технологии, те
12	Страхование	INSURANCE	Insurance (Accident & Health)	Страхование	FINANCES	Финансы, страхование, банковское дело	J	Финансы, банковское дело, страхование, аудит, конс
13	Банк	BANK	Regional Banks	Банк/Финансы	FINANCES	Финансы, страхование, банковское дело	J	Финансы, банковское дело, страхование, аудит, конс
14	Финансы	FINANCES	Regional Banks	Банк/Финансы	FINANCES	Финансы, страхование, банковское дело	J	Финансы, банковское дело, страхование, аудит, конс
15	Обмен валют	CURRENCY_EXCHANGE	Regional Banks	Банк/Финансы	CURRENCY_EXCHANGE	Обмен валют	J	Финансы, банковское дело, страхование, аудит, конс
16	Государственная служба	FED_UNDERTAKING	Public & municipal administ.	Государственная служба	FED_UNDERTAKING	Федеральное и муниципальное управление	L	Федеральное, муниципальное управление, армия, сило
17	ЧОП/Детективная д-ть	SECURITY	Detective	ЧОП/Детективная д-ть	SECURITY	Детективное и/или охранное предприятие	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
18	Юридические услуги/нотариальные услуги	LEGAL	Personal Services	Юридические услуги/нотариальные услуги	LEGAL	Юридические и нотариальные услуги	Z	Прочее
19	Нефтегазовая промышленность	EXTRACTIVE	Oil & Gas Operations	Нефтегазовая промышленность	EXTRACTIVE	ТЭК, Добывающая промышленность	D	Тяжелая, легкая, пищевая пром., химия, парфюмерия,
20	Энергетика	ENERGY_INDUSTRY	Oil Well Services & Equipment	Энергетика	EXTRACTIVE	ТЭК, Добывающая промышленность	E	Производство и распределение электроэнергии, газа
21	Здравоохранение	HEALTHCARE	Healthcare	Здравоохранение	HEALTHCARE	Здравоохранение	N	Здравоохранение и социальная помощь
22	Разработка ПО и информационные технологии	IT_TELECOM	Software & Programming	Разработка ПО и информационные технологии	IT_TELECOM	Информатика, телекоммуникации	I	Транспорт, логистика, связь, информ.технологии, те
23	Информационные услуги и консалтинг	CONSULTING	Information service	Информационные услуги и консалтинг	CONSULTING	Аудиторские услуги / консалтинг	J	Финансы, банковское дело, страхование, аудит, конс
24	Туризм	TOURISM	Hotels & Motels	Туризм	TOURISM	Туризм	H	Туристический и гостиничный бизнес, общепит и рест
25	Культура и искусство	CULTURE	Recreational Activities	Развлечения/Искусство	CULTURE	Культура и искусство	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
26	Игорный и шоу бизнес	GMBL_BUSNSS	Recreational Activities	Развлечения/Искусство	GMBL_BUSNSS	Игорный и шоу бизнес	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
27	Образование	SCHOOL	Schools	Образование	EDUCATION	Образование	M	Наука и образование
28	Образование общее	GENERAL_EDUCATION	General education	Образование общее	EDUCATION	Образование	M	Наука и образование
29	Образование дополнительное	ADDITIONAL_EDUCATION	Additional education	Образование дополнительное	EDUCATION	Образование	M	Наука и образование
30	Научная деятельность	SCIENCE	Scientific & Technical Instr.	Научная деятельность	SCIENCE	Научно-техническая деятельность	M	Наука и образование
31	Ресторанный бизнес/Общественное питание	CAFE	Restaurant & Catering	Ресторанный бизнес/Общественное питание	CAFE	Ресторан Кафе	H	Туристический и гостиничный бизнес, общепит и рест
32	Торговля розничная	RETAIL	Food retail	Розничная торговля продуктами питания	RETAIL	Торговля розничная	G	Торговля, ремонт и бытовое обслуживание
